filename AU01_r AU02_r AU04_r AU05_r AU06_r AU07_r AU09_r AU10_r AU12_r AU14_r AU15_r AU17_r AU20_r AU23_r AU25_r AU26_r AU45_r
frame_det_00_000009.jpg 0.0 0.54 0.0 0.0 1.1 0.0 0.0 1.43 3.15 2.15 0.0 0.0 0.39 0.08 1.99 0.0 0.0
frame_det_00_000014.jpg 1.12 2.49 0.0 0.74 0.0 1.17 0.37 0.34 1.16 1.9 0.0 0.0 0.0 0.0 0.91 0.29 0.24
frame_det_00_000016.jpg 0.97 0.4 0.0 0.05 1.34 2.13 0.74 1.73 1.98 2.05 0.09 1.87 0.46 1.14 0.21 0.05 0.0
frame_det_00_000025.jpg 0.28 0.0 0.0 0.0 0.2 0.85 1.33 0.0 0.0 0.37 1.12 0.0 0.73 0.18 0.41 1.36 0.03
frame_det_00_000030.jpg 0.45 0.22 1.02 0.83 0.02 0.64 1.26 0.73 0.04 0.57 0.43 0.08 0.0 0.35 0.0 0.9 0.11
frame_det_00_000044.jpg 1.64 1.7 0.12 1.2 0.0 0.92 0.0 0.62 0.78 1.05 0.0 0.89 0.0 0.29 0.97 0.9 0.0
frame_det_00_000051.jpg 0.0 0.21 0.0 0.13 1.77 0.0 0.0 2.27 2.63 2.17 0.06 1.72 0.0 0.91 0.43 0.0 0.36
frame_det_00_000052.jpg 0.7 0.21 0.0 1.85 0.52 0.0 0.0 0.0 0.82 0.11 0.31 1.6 0.0 0.88 0.0 0.0 0.11
frame_det_00_000074.jpg 0.98 2.09 0.0 0.61 0.0 0.78 0.11 0.0 0.0 0.0 0.05 0.0 0.41 0.0 2.54 1.0 0.96
frame_det_00_000080.jpg 0.0 0.0 1.04 0.97 0.06 0.76 0.4 0.23 0.0 1.32 0.06 0.36 0.0 0.63 0.0 0.41 0.29
frame_det_00_000085.jpg 0.29 0.38 0.0 0.0 0.0 0.0 0.0 0.0 1.19 1.44 0.0 0.0 0.55 0.0 0.38 1.19 0.0
frame_det_00_000096.jpg 0.21 0.0 0.0 0.0 0.0 0.35 0.99 0.0 0.0 0.0 1.8 0.0 1.61 0.0 0.66 0.89 0.67
frame_det_00_000109.jpg 0.0 0.0 0.0 0.01 0.43 0.0 0.18 1.18 0.8 0.58 0.1 1.38 0.14 0.0 1.64 1.41 0.0
frame_det_00_000110.jpg 0.59 0.06 2.86 0.0 2.21 2.58 0.84 1.96 3.26 2.54 0.0 0.0 0.0 0.0 1.54 0.0 0.0
frame_det_00_000111.jpg 0.11 0.0 1.24 0.0 2.78 2.25 0.0 1.98 3.22 0.52 0.0 0.0 0.0 0.0 1.99 0.63 0.62
frame_det_00_000121.jpg 0.55 0.32 0.29 0.01 1.21 2.86 0.0 0.0 2.24 1.41 0.0 0.0 0.0 0.02 0.48 0.25 0.0
frame_det_00_000124.jpg 0.47 0.09 0.0 2.35 0.35 0.0 0.73 3.03 0.79 2.22 0.0 0.09 1.35 0.51 0.29 0.0 0.02
frame_det_00_000129.jpg 0.0 0.0 0.13 0.31 1.61 2.05 0.2 1.45 2.6 2.18 0.0 0.42 0.0 1.51 2.22 1.55 0.0
frame_det_00_000132.jpg 0.0 0.0 0.03 0.0 1.71 1.68 0.56 2.38 2.93 2.17 0.0 0.0 0.0 0.0 1.62 0.43 0.0
frame_det_00_000135.jpg 0.45 0.45 0.0 0.57 0.65 2.26 0.39 2.86 2.05 1.66 0.79 0.75 0.17 0.24 1.25 0.05 0.42
frame_det_00_000143.jpg 0.0 0.0 0.0 0.0 0.87 0.46 0.05 0.4 1.93 1.84 0.0 0.32 0.0 0.89 0.51 0.0 0.08
frame_det_00_000145.jpg 0.0 0.0 0.0 0.0 4.26 2.61 2.27 3.63 3.77 1.38 0.0 0.0 0.0 0.0 4.29 0.0 0.0
frame_det_00_000147.jpg 0.55 0.14 1.32 0.8 1.07 0.44 0.27 0.94 1.15 0.36 0.0 0.42 0.0 0.0 1.35 0.72 0.0
frame_det_00_000151.jpg 0.0 0.76 0.0 0.42 3.02 1.74 0.0 1.83 3.78 0.88 0.0 0.0 0.0 0.0 3.44 0.0 0.0
frame_det_00_000152.jpg 0.0 0.0 1.22 0.0 2.53 1.63 1.3 1.94 2.23 1.01 0.0 0.0 0.18 0.0 1.6 0.21 0.0
frame_det_00_000155.jpg 0.08 0.0 0.0 0.11 1.56 1.64 0.0 1.22 3.52 0.96 0.0 0.0 0.0 0.0 2.04 0.59 0.0
frame_det_00_000157.jpg 0.0 0.0 0.0 0.16 0.0 0.2 0.0 0.0 0.55 0.36 0.15 0.0 0.29 0.0 0.0 0.0 0.0
frame_det_00_000161.jpg 0.94 1.32 0.0 0.37 1.49 1.89 0.45 1.6 2.75 0.76 0.0 0.0 0.0 0.0 2.73 0.85 0.39
frame_det_00_000163.jpg 1.0 2.97 0.03 2.57 0.12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.04 0.7 0.0
frame_det_00_000168.jpg 0.35 0.0 0.65 0.0 2.26 1.9 0.39 2.56 3.36 1.32 0.0 0.0 0.0 0.0 2.04 0.0 0.0
frame_det_00_000172.jpg 0.0 0.0 0.0 0.0 0.65 0.62 0.0 0.68 1.99 0.08 0.0 0.0 0.95 0.01 1.29 0.43 0.0
frame_det_00_000174.jpg 0.0 0.0 0.4 0.0 3.04 2.49 1.52 2.24 3.62 1.64 0.0 0.0 0.72 0.34 3.42 0.56 0.0
frame_det_00_000175.jpg 0.0 0.05 0.0 0.0 0.24 0.29 0.0 0.0 1.48 1.48 0.0 0.0 0.0 0.44 0.0 0.22 0.0
frame_det_00_000179.jpg 0.11 0.0 0.85 0.0 1.18 1.65 0.14 0.97 0.69 1.2 0.0 0.0 0.0 0.21 0.45 0.35 0.0
frame_det_00_000180.jpg 1.22 0.58 0.51 0.72 0.37 1.84 0.0 0.64 1.71 2.0 0.0 0.0 0.0 0.44 0.0 0.62 0.0
frame_det_00_000183.jpg 0.76 0.0 0.0 0.0 2.11 2.65 0.17 1.44 2.59 1.18 0.0 0.0 0.0 0.46 0.27 0.0 0.0
frame_det_00_000196.jpg 0.69 0.48 0.0 0.0 1.83 0.81 0.4 2.07 3.29 0.83 0.0 0.73 0.0 0.0 3.46 0.95 0.28
frame_det_00_000201.jpg 0.0 0.0 0.16 0.0 0.18 0.5 0.0 0.0 0.19 0.0 0.0 0.0 1.38 0.0 0.39 1.67 0.5
frame_det_00_000205.jpg 0.16 0.0 0.11 0.0 1.33 2.93 0.82 1.03 0.5 0.79 0.02 0.61 0.69 0.74 0.0 0.0 0.32
frame_det_00_000212.jpg 0.0 0.0 0.0 0.55 0.54 1.14 0.0 0.0 0.0 0.0 0.08 0.18 0.49 0.62 0.02 0.85 0.02
frame_det_00_000221.jpg 0.05 0.07 0.62 0.8 0.8 0.69 0.57 1.13 0.36 0.35 1.42 0.27 1.07 0.33 0.83 1.11 0.56
frame_det_00_000229.jpg 0.0 0.0 0.83 0.0 1.79 2.38 0.76 0.63 1.12 2.34 0.0 1.91 0.97 1.54 0.21 0.0 0.87
frame_det_00_000231.jpg 0.0 1.4 0.0 0.0 0.0 0.0 0.32 0.48 0.0 0.0 0.65 0.0 1.72 0.0 1.96 1.12 1.5
frame_det_00_000239.jpg 0.23 0.0 0.0 0.0 2.63 3.66 1.01 2.91 3.67 2.09 0.0 0.0 0.41 0.0 3.05 0.17 0.39
frame_det_00_000250.jpg 1.97 3.56 0.0 0.04 0.31 1.61 0.65 0.0 0.09 1.29 0.0 0.62 0.0 0.0 0.26 0.56 1.02
frame_det_00_000255.jpg 0.12 0.0 0.0 0.03 0.0 0.0 0.0 0.0 0.0 0.09 0.0 0.0 0.0 0.0 0.0 0.0 0.17
frame_det_00_000258.jpg 0.0 1.02 0.0 1.62 0.0 0.0 0.0 0.0 0.0 0.98 0.0 0.0 0.19 0.0 0.82 0.0 0.04
